business_id,name,review_count
A98xW4qb7vOTguggHFs7Ng,Hot Yoga Wellness,4
PZ-LZzSlhSe9utkQYU8pFg,Carluccio's Tivoli Gardens,40
dFMxzHygTy6F873843dHAA,Fremont Arcade,38
1RHY4K3BD22FK7Cfftn8Mg,Marathon Diner,35
tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,184
LB6ZyCfUzeX9OLdunHhnOQ,Ross Dress for Less,38
NBn4hgfGtNz91k3VsDZlmw,Three Square,44
YNvZdMLXa4q8e9tiE4ge4A,Louis Stokes Cleveland VA Medical Center,11
cQ8FKduGfVskvi11NZXsAg,Tomkins Park,3
_J_x_RaYTqAqAuCwgRhnRQ,Kabob House,15
dQj5DLZjeDK3KFysh1SYOQ,Apteka,242
kANF0dbeoW34s2vwh6Umfw,Dairy Queen,33
44YFU284Z3KDEy25QyVoUw,Nee House Chinese Restaurant,269
HBQG_DT8pfbkv8jiv3P6Gw,Winners,8
NPHZkn1e-tSJAbo8Zm9rYw,Burrito Bandidos,43
X8mtoSxY8whtmbDlj0D3Aw,Imperial Asian Buffet,4
qJeSjOMgWB3er3UXG33ZVw,Carl's Jr,6
0lFAD4CuWcQVl9u3-lRaCQ,Cruisers Bar and Grill,12
wUsjANxpknTpsaTjYoo9iA,Venetian Nail Spa,52
iedsG4rv8SYY22kGUVDjaw,Southdown Chiropractic & Wellness,5
sKhDrZFCJqfRNylkHrIDsQ,Starbucks,76
faixHjogPjNUo07T0RBRFw,Protection 1 Security Solutions,18
r8764MtYyt8JhxMvrfM_xQ,Vintage 95,320
mruax-1iDdb8GlAKwLy8JQ,Hotel Indigo Toronto Airport,15
QaXU3XeFaWwJ1_E1A3_3uw,Slate Interiors,8
jScBTQtdAt-8RshaiBEHgw,Served,664
U3kygJOTlTQFlfaZS7sQjA,JJ's Red Hots - Dilworth,380
c35qzLN6ItDpVIoj2uQW4Q,Ravi Soups,332
nsNONDHbV7Vudqh21uicqw,Salt Cellar,526
SvUvVEr9cTjS-PJQ9MuckQ,Caffeine,30
6fPQJq4f_yiq1NHn0fd11Q,La Creperie,535
sAX1q1kLvOnXKURq_MP_Wg,Park Road Books,33
k-dDZvTeLysoJvjHI-qr9g,Feast Buffet,287
spi9UEWyNrq2O4y5DD84LA,Restaurant Nhu Y,11
MhnihE0alud0ereVInSt8Q,Yummy Yummy Chinese Restaurant,188
i6hWP3si97eKQl_JyK8L3w,Hilton Toronto,131
kvM34AeKBJoQn3FJfGXWhw,Marlene's Baker Supply,5
FDEm-c3NAXnTVtl-hgzAhA,Heart Attack Grill,104
PWjgwphd2prhtqTPWwLbXw,Stage Deli Of Las Vegas,28
99KKeZYRPnz7qDi5USsHmw,Hoover Dam Discovery Tour,52
eY98EH_PHGnJVaJ7t2UpoQ,Pita Pit,77
n812L7Mz4104bQ5Goo7yQg,Vistal Golf Club,22
iwGhazq9eP51PSerTrMrwg,Mr G's Pub & Grub,27
uZuh51lXu7tsrC8RAwkg1A,Manolo Blahnik,32
cmcUx0yiIiuVRUhjb0kGXw,Eons Fashion Antique,26
d9ftOq9cPFsicPSasP-IRw,Big Boy's Burgers,14
0G83H_zoum-Q4bWU2olTqQ,Bonjour Bakery & Deli,39
0YkNypUMDoIklcgoGYioMg,Teatro Verde,12
z3csSfd-UBMP1Gk6zHY_AA,Toad N Turtle Pubhouse & Grill,24
a7zF4dDTeswXZGmohBDbJw,Howlers,26
YOhtdvjmveAtsblep0CQrg,Moksha Yoga Markham,23
CU047MuCn7u-9UGA2-xhmA,Carnegie Museum of Art,55
tWjfgVtTD5n01Cq9dFWGsA,Cibo,185
dUffgo9Lh_Vk9TLuFR5ywg,Oregano's Pizza Bistro,563
_pBXtjN43eqMV0XZTz7nmw,Encore Beach Club at Night,865
iyPtSR0s6EkvaQFbdJ_jVA,Pearl King,72
Qb4sJ4ssSX1clY2wEAOmsA,Trader Joe's,196
_72dMXdWbVAgwB-Bxwz-mw,Champions Cuisine,7
ci3xUs8ZffvGhWfoioAL0Q,Arc Bar,6
Kot0deqA1WAbZ7YXY5fQ5w,The Home Depot,41
8TBt9XAVZIZR2Y0EqBHskg,Cobblestone Auto Spa,147
LWxSTjV6zybxIZKkSK3SNQ,Savers,33
jX9DocoiY4Bo9EUkaTSqvg,China AAA,149
ecJri9ozyke4dOCWulZiRQ,Nishikawa Ramen,427
xXtWrRKn8A708BfaNs1nZw,"Coffee, Tea, or Me",19
EQq1K0q9VVJm4zYw0NGwfA,ADEQ,34
QZ4GFIArBMGolsVi0XHgcA,Golden Flower Cafe,31
F6c3D1o9Z4Tl6cDorb3WgA,Hello Bistro,75
CodoVn98WzIP2_NC18NuCw,Chez ma Grosse Truie Chérie,30
CDOjlyFd8ro5X0-XZl6Eeg,Landmark Aviation,4
PkI1x_NCyEt2sR8MYv4l7w,Brookstone,13
bt00hbBi-DN6ksKiQngV4g,Healthy Home Market,20
4tjKsIaBXCDUP9PL82Vu_A,The Red Door Salon & Spa,96
j8Sdor4_SkPBD7fhC8IS8w,Autozone,12
R_nQsi2egjUyjgKqOZRJIw,Insurgo Theater Movement,4
L6R2Op88NkoG1EGxlVvdRQ,Bread & Roses Bakery Cafe,23
xJuHAICm6aNl39lDRw75_Q,Plato's Closet,5
Hdzo5ggPswyv-8ZlW0PVLw,Gelato 64,140
SZ5KO1KNiwtrktKo5mpuLA,Empress Court,21
NX1281ugzs2navHAX5X9cQ,Cha Me Cha,293
43PeF0ERpSIiEbXM6f9N2g,Megas Restaurant,47
G_05ZI4Vpl4bxjjZR11jEQ,Jardin Botanique de Montréal,207
LEOvXK3lMEfjnex3CPvrng,Albinas Italian American Bakery,11
zfOum9_rEhaLAqoAV3nYaQ,Naya Mediterranean Cuisine,97
oz4YTqzGLYRzV0lSMDaEEQ,Toronto Police Museum,4
HqerocZHKSRFD8NTrIkbaw,Taxco Mexican Grill,52
3-aEgS7X2jrbxA7sA1nARw,La Flor De Calabaza,90
k2b3niokS_tosjah_rzCPw,Metro Pizza,303
VxnZy3cU-ItbYiDK5XDX8g,Red Lotus,4
2D2NpSJDyQCBKPRboUcKWQ,Anise Vietnamese Restaurant,29
