user_id,business_id,stars
Chad,N2PlDjUJVfOJzsPzY0Au1w,3.0
Chad,WMj5Uj04pAqFxLMnJQcQqw,3.0
Margret,h6t-dQ1udLHs0ogBFAAPGw,3.0
Shannon,YF4QJ_j-PM7cMZja6K1MwQ,2.0
Jennifer,wuBGY61_1-udSHUrOkM82w,4.0
Nicole,S83PlcsPzYgp5cbWuIMTtw,4.0
Lorrie,faPVqws-x-5k2CQKDNtHxw,4.0
J,BIbjBxoiJLS8CnNsSP64TQ,1.0
Bruce,Mx4jBY2-pNv4I7bIrefCPg,4.0
Jon,ltBykrt4Z_lP8pI1Sgb1ww,3.0
Randoll,KNrkgSSyvBPhbXTDznfCNQ,3.0
Cynthia,iznuYVvpcBC3JGeWEoV0FQ,4.0
Messer,_lpqjZAseSvoDxPN-_JnzQ,5.0
Andy,5VtT9Pf7zOBP2OD5xaKLYw,2.0
Kent,N0apJkxIem2E8irTBRKnHw,4.0
Gabi,mJ80PsL4mQmRqTrq80p_ig,5.0
Rob,4RoTEeqB_MNn6yaqZmlZHg,3.0
Phil,9KmvrnyjWTr4sly0Dt770g,5.0
Chris,_F3AMoo_zdl-he384ISQbw,5.0
Bruce,ZLNNXEZaCMhXuUovRTIGTw,4.0
Jennifer,TvHC_I01Ilvd5_fFi4sqIg,3.0
Jason,ewWGrjlWHkXXBsLinpauKQ,2.0
Ee Vonn,ujHiaprwCQ5ewziu0Vi9rw,5.0
Jennifer,lkM72Y21bjBqUGaW7iL7tQ,3.0
Eugene,TTDMJetAQKfxVzKZy4Z_2Q,4.0
Manda Bear,faPVqws-x-5k2CQKDNtHxw,4.0
Norm,DlVALLr6P4_cimALTHjcbg,3.0
Yi,SHFlELFcEcAOJv_fTAKChQ,5.0
Jennifer,PNTyiqS7R-0c1ofxOfDijQ,5.0
Randoll,5uT16_Lpl3hwvcONNds6DQ,3.0
Cynthia,f_eiOrEcMnkHB7GvQVOHkQ,5.0
Nick,q0tMKr-hzS4UT0RArdZfzQ,4.0
Bruce,sQIH-MmfdI2xyXa6acyYhg,4.0
Betty,ujHiaprwCQ5ewziu0Vi9rw,3.0
Vincent,Crq6YLYcGGxS9aP4-iVyGA,5.0
Vincent,oma1tdvjKlNH5-SRtBMBJg,4.0
Tiffany,4U2JtoWJbhC-NAltPLdtEA,5.0
Steph,ZxR9HNk0b7ZIq8kMiDEIDw,4.0
Emily,lFQxHIFY0dM0Jaxdj79n8g,3.0
J,PycR_Mr5jA9jB4Xg3nX0Yw,3.0
Phil,1Df5WnLX3DqN6ymlhqznaQ,4.0
Jennifer,KMWaFPLvtY-TCOoqMmkoyQ,3.0
Tyler,Wxxvi3LZbHNIDwJ-ZimtnA,4.0
Michelle,brpJ1jYGH_Pgrx7dKIqesA,4.0
Margret,sk0stgY4NDJYOX1MbNJ3Pg,5.0
Bruce,U3kygJOTlTQFlfaZS7sQjA,4.0
Chad,QoRL0_AwNV-GkHFe8tvp2g,1.0
Betty,o1dX8oFupfjbBpYgT7TH0w,2.0
Randy,rvnTFEq7R2ZHg0_CYbBNFw,4.0
Jennifer,4JNcjacZH7PPy8hWuqYleA,3.0
Jennifer,gkxmQi2cipbysXFgT_w_jA,4.0
Mel,HsrEbWCg8K06pUhx469uSw,5.0
Karen,uKKNw68mZZaa1jcyszEbyA,4.0
Owen,AyUO53ftWgCU0gcrYMb3cQ,4.0
Stefany,VMXl3Dm1Nwvgwo1PVYTXbg,3.0
Shannon,Wxxvi3LZbHNIDwJ-ZimtnA,4.0
